Plan Name,Disease,Premium Type,Maximum Coverage,Deductible,Co-pay Percentage,Out-of-Pocket,Waiting Period,Claims Settled,Renewability,Hospital Coverage,Benefits,Tax Redemption
Individual Health Insurance,Chronic Lung Disease,Basic,337904.0,5%,20%,94612.0,172,88.0,Renewable,8121.0,"Benefit from Rs.337904.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 172 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Chronic Lung Disease,Lite,485311.0,10%,10%,79105.0,160,94.0,Renewable,8192.0,"For Individual Health Insurance Lite, enjoy Rs.485311.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 160 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Chronic Lung Disease,Premier,633686.0,15%,5%,61784.0,133,97.0,Renewable,8260.0,"Individual Health Insurance Premier offers Rs.633686.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 133 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Motor Neuron Disease,Basic,634233.0,5%,20%,177585.0,177,87.0,Renewable,8195.0,Individual Health Insurance Basic offers Rs.634233.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 177 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Motor Neuron Disease,Lite,736114.0,10%,10%,119985.0,158,94.0,Renewable,8481.0,"For Individual Health Insurance Lite, enjoy Rs.736114.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 158 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Motor Neuron Disease,Premier,880036.0,15%,5%,85802.0,138,98.0,Renewable,8621.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.880036.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 138 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Multiple Sclerosis,Basic,596176.0,5%,20%,166928.0,160,90.0,Renewable,8061.0,Individual Health Insurance Basic offers Rs.596176.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 160 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Multiple Sclerosis,Lite,698047.0,10%,10%,113781.0,141,91.0,Renewable,8071.0,"For Individual Health Insurance Lite, enjoy Rs.698047.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 141 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Multiple Sclerosis,Premier,802238.0,15%,5%,78217.0,127,96.0,Renewable,8074.0,"Individual Health Insurance Premier offers Rs.802238.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 127 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Cancer,Basic,933602.0,5%,20%,261408.0,167,88.0,Renewable,8003.0,Individual Health Insurance Basic offers Rs.933602.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 167 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Cancer,Lite,1038840.0,10%,10%,169330.0,143,95.0,Renewable,8288.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.1038840.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 143 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Cancer,Premier,1173848.0,15%,5%,114449.0,127,96.0,Renewable,8487.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.1173848.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 127 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Aorta Surgery,Basic,868374.0,5%,20%,243144.0,174,90.0,Renewable,8075.0,Individual Health Insurance Basic offers Rs.868374.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 174 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Aorta Surgery,Lite,1016147.0,10%,10%,165631.0,145,91.0,Renewable,8149.0,"Individual Health Insurance Lite provides Rs.1016147.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 145 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Aorta Surgery,Premier,1160667.0,15%,5%,113164.0,135,98.0,Renewable,8234.0,"Individual Health Insurance Premier offers Rs.1160667.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 135 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Major Organ Transplant,Basic,1134511.0,5%,20%,317663.0,642,87.0,One-time renewability,8115.0,Individual Health Insurance Basic offers Rs.1134511.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 642 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Major Organ Transplant,Lite,1254988.0,10%,10%,204562.0,653,95.0,One-time renewability,8401.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.1254988.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 653 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Major Organ Transplant,Premier,1382776.0,15%,5%,134819.0,644,97.0,One-time renewability,8672.0,"For Individual Health Insurance Premier, access Rs.1382776.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 644 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Permanent Blindness,Basic,492999.0,5%,20%,138039.0,161,87.0,Renewable,8002.0,"For Individual Health Insurance Basic, receive Rs.492999.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 161 days, and this plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Permanent Blindness,Lite,593402.0,10%,10%,96724.0,146,91.0,Renewable,8290.0,"For Individual Health Insurance Lite, enjoy Rs.593402.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 146 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Permanent Blindness,Premier,706094.0,15%,5%,68843.0,134,96.0,Renewable,8542.0,"Individual Health Insurance Premier offers Rs.706094.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 134 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Permanent Deafness,Basic,485113.0,5%,20%,135831.0,165,89.0,Renewable,8291.0,Individual Health Insurance Basic offers Rs.485113.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 165 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Permanent Deafness,Lite,600454.0,10%,10%,97873.0,156,92.0,Renewable,8431.0,"Individual Health Insurance Lite provides Rs.600454.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 156 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Permanent Deafness,Premier,721379.0,15%,5%,70333.0,120,100.0,Renewable,8703.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.721379.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 120 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Permanent Loss of Speech,Basic,482682.0,5%,20%,135150.0,163,90.0,Renewable,8047.0,"For Individual Health Insurance Basic, receive Rs.482682.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 163 days, and this plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Permanent Loss of Speech,Lite,603980.0,10%,10%,98448.0,149,91.0,Renewable,8302.0,"Individual Health Insurance Lite provides Rs.603980.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 149 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Permanent Loss of Speech,Premier,733032.0,15%,5%,71470.0,136,96.0,Renewable,8317.0,"Individual Health Insurance Premier offers Rs.733032.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 136 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Parkinson's Disease,Basic,532613.0,5%,20%,149131.0,168,90.0,Renewable,8045.0,Individual Health Insurance Basic offers Rs.532613.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 168 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Parkinson's Disease,Lite,641736.0,10%,10%,104602.0,142,92.0,Renewable,8079.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.641736.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 142 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Parkinson's Disease,Premier,767281.0,15%,5%,74809.0,127,97.0,Renewable,8275.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.767281.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 127 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Alzheimer's Disease,Basic,530478.0,5%,20%,148533.0,161,89.0,Renewable,8130.0,Individual Health Insurance Basic offers Rs.530478.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 161 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Alzheimer's Disease,Lite,680242.0,10%,10%,110878.0,147,92.0,Renewable,8412.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.680242.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 147 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Alzheimer's Disease,Premier,796878.0,15%,5%,77694.0,125,97.0,Renewable,8522.0,"For Individual Health Insurance Premier, access Rs.796878.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 125 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Chronic Liver Disease,Basic,604865.0,5%,20%,169361.0,171,88.0,Renewable,8144.0,"Benefit from Rs.604865.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 171 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Chronic Liver Disease,Lite,723154.0,10%,10%,117873.0,147,95.0,Renewable,8200.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.723154.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 147 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Chronic Liver Disease,Premier,841527.0,15%,5%,82048.0,126,97.0,Renewable,8308.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.841527.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 126 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Kidney Failure,Basic,740683.0,5%,20%,207391.0,176,89.0,Renewable,8104.0,"Benefit from Rs.740683.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 176 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Kidney Failure,Lite,852011.0,10%,10%,138877.0,143,92.0,Renewable,8177.0,"For Individual Health Insurance Lite, enjoy Rs.852011.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 143 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Kidney Failure,Premier,956660.0,15%,5%,93274.0,133,96.0,Renewable,8318.0,"Individual Health Insurance Premier offers Rs.956660.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 133 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Stroke,Basic,674872.0,5%,20%,188964.0,160,89.0,Renewable,8099.0,Individual Health Insurance Basic offers Rs.674872.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 160 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Stroke,Lite,809649.0,10%,10%,131972.0,148,95.0,Renewable,8262.0,"Individual Health Insurance Lite provides Rs.809649.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 148 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Stroke,Premier,920806.0,15%,5%,89778.0,124,98.0,Renewable,8382.0,"For Individual Health Insurance Premier, access Rs.920806.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 124 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Primary Pulmonary Arterial Hypertension,Basic,756199.0,5%,20%,211735.0,160,90.0,Renewable,8221.0,Individual Health Insurance Basic offers Rs.756199.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 160 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Primary Pulmonary Arterial Hypertension,Lite,882186.0,10%,10%,143796.0,146,91.0,Renewable,8367.0,"For Individual Health Insurance Lite, enjoy Rs.882186.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 146 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Primary Pulmonary Arterial Hypertension,Premier,1005986.0,15%,5%,98083.0,123,99.0,Renewable,8563.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.1005986.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 123 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Sepsis,Basic,197745.0,5%,20%,55368.0,168,89.0,Renewable,8297.0,Individual Health Insurance Basic offers Rs.197745.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 168 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Sepsis,Lite,314628.0,10%,10%,51283.0,152,91.0,Renewable,8593.0,"Individual Health Insurance Lite provides Rs.314628.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 152 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Sepsis,Premier,434768.0,15%,5%,42389.0,128,99.0,Renewable,8729.0,"For Individual Health Insurance Premier, access Rs.434768.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 128 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Acute Myocardial Infarction,Basic,444163.0,5%,20%,124365.0,174,89.0,Renewable,8083.0,Individual Health Insurance Basic offers Rs.444163.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 174 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Acute Myocardial Infarction,Lite,551868.0,10%,10%,89953.0,153,93.0,Renewable,8244.0,"Individual Health Insurance Lite provides Rs.551868.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 153 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Acute Myocardial Infarction,Premier,655278.0,15%,5%,63888.0,134,100.0,Renewable,8502.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.655278.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 134 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Ventricular Fibrillation,Basic,440219.0,5%,20%,123260.0,171,89.0,Renewable,8259.0,"Benefit from Rs.440219.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 171 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Ventricular Fibrillation,Lite,566986.0,10%,10%,92418.0,153,91.0,Renewable,8469.0,"For Individual Health Insurance Lite, enjoy Rs.566986.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 153 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Ventricular Fibrillation,Premier,695682.0,15%,5%,67828.0,138,98.0,Renewable,8626.0,"For Individual Health Insurance Premier, access Rs.695682.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 138 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Pulmonary Embolism,Basic,452975.0,5%,20%,126832.0,172,90.0,Renewable,8234.0,Individual Health Insurance Basic offers Rs.452975.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 172 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Pulmonary Embolism,Lite,553929.0,10%,10%,90290.0,150,94.0,Renewable,8369.0,"For Individual Health Insurance Lite, enjoy Rs.553929.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 150 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Pulmonary Embolism,Premier,674786.0,15%,5%,65791.0,136,100.0,Renewable,8492.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.674786.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 136 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Aortic Dissection,Basic,440583.0,5%,20%,123363.0,645,90.0,One-time renewability,8267.0,Individual Health Insurance Basic offers Rs.440583.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 645 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Aortic Dissection,Lite,544851.0,10%,10%,88810.0,563,92.0,One-time renewability,8448.0,"For Individual Health Insurance Lite, enjoy Rs.544851.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 563 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Aortic Dissection,Premier,685257.0,15%,5%,66811.0,690,97.0,One-time renewability,8662.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.685257.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 690 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Cardiomyopathy,Basic,478677.0,5%,20%,134029.0,174,88.0,Renewable,8042.0,"For Individual Health Insurance Basic, receive Rs.478677.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 174 days, and this plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Cardiomyopathy,Lite,580751.0,10%,10%,94661.0,153,92.0,Renewable,8196.0,"Individual Health Insurance Lite provides Rs.580751.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 153 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Cardiomyopathy,Premier,719736.0,15%,5%,70173.0,139,98.0,Renewable,8272.0,"Individual Health Insurance Premier offers Rs.719736.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 139 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Endocarditis,Basic,478808.0,5%,20%,134065.0,174,87.0,Renewable,8154.0,Individual Health Insurance Basic offers Rs.478808.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 174 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Endocarditis,Lite,614321.0,10%,10%,100133.0,159,93.0,Renewable,8183.0,"For Individual Health Insurance Lite, enjoy Rs.614321.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 159 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Endocarditis,Premier,721107.0,15%,5%,70307.0,137,100.0,Renewable,8421.0,"For Individual Health Insurance Premier, access Rs.721107.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 137 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Pericarditis,Basic,451108.0,5%,20%,126309.0,179,89.0,Renewable,8156.0,"Benefit from Rs.451108.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 179 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Pericarditis,Lite,592720.0,10%,10%,96613.0,150,92.0,Renewable,8367.0,"Individual Health Insurance Lite provides Rs.592720.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 150 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Pericarditis,Premier,739803.0,15%,5%,72130.0,134,96.0,Renewable,8467.0,"Individual Health Insurance Premier offers Rs.739803.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 134 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Myocarditis,Basic,482765.0,5%,20%,135173.0,165,89.0,Renewable,8211.0,"Benefit from Rs.482765.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 165 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Myocarditis,Lite,609954.0,10%,10%,99421.0,145,92.0,Renewable,8372.0,"Individual Health Insurance Lite provides Rs.609954.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 145 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Myocarditis,Premier,749114.0,15%,5%,73037.0,135,99.0,Renewable,8436.0,"Individual Health Insurance Premier offers Rs.749114.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 135 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Left Ventricular Hypertrophy,Basic,497553.0,5%,20%,139314.0,164,87.0,Renewable,8181.0,Individual Health Insurance Basic offers Rs.497553.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 164 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Left Ventricular Hypertrophy,Lite,646115.0,10%,10%,105316.0,160,91.0,Renewable,8426.0,"Individual Health Insurance Lite provides Rs.646115.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 160 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Left Ventricular Hypertrophy,Premier,791340.0,15%,5%,77155.0,138,99.0,Renewable,8459.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.791340.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 138 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Angina Pectoris,Basic,504798.0,5%,20%,141342.0,162,87.0,Renewable,8068.0,Individual Health Insurance Basic offers Rs.504798.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 162 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Angina Pectoris,Lite,638727.0,10%,10%,104111.0,149,93.0,Renewable,8310.0,"Individual Health Insurance Lite provides Rs.638727.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 149 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Angina Pectoris,Premier,769346.0,15%,5%,75010.0,128,99.0,Renewable,8509.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.769346.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 128 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Congestive Heart Failure,Basic,495225.0,5%,20%,138662.0,173,87.0,Renewable,8289.0,Individual Health Insurance Basic offers Rs.495225.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 173 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Congestive Heart Failure,Lite,626089.0,10%,10%,102052.0,157,94.0,Renewable,8522.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.626089.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 157 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Congestive Heart Failure,Premier,743650.0,15%,5%,72505.0,133,100.0,Renewable,8820.0,"For Individual Health Insurance Premier, access Rs.743650.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 133 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Ventricular Tachycardia,Basic,518697.0,5%,20%,145234.0,174,87.0,Renewable,8149.0,"For Individual Health Insurance Basic, receive Rs.518697.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 174 days, and this plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Ventricular Tachycardia,Lite,639221.0,10%,10%,104192.0,149,91.0,Renewable,8278.0,"For Individual Health Insurance Lite, enjoy Rs.639221.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 149 days, crafted to be specifically designed for individual coverage.",15%
